alternative design flag set to: false
ws3 done making product #46 in 1m44.432149726s
ws2 done making product #48 in 1m44.159276817s
ws3 done making product #47 in 1m53.571159726s
ws3 done making product #48 in 1m39.719040785s
ws3 done making product #49 in 1m41.839173524s
ws2 done making product #49 in 5m30.472327763s
ws2 done making product #50 in 8.193131359s
ws3 done making product #50 in 2m20.271323673s
ws3 done making product #51 in 1m37.0751463s
ws3 done making product #52 in 1m43.156987382s
ws3 done making product #53 in 1m42.928125824s
ws2 done making product #51 in 7m2.886588759s
ws2 done making product #52 in 16.2820681s
ws3 done making product #54 in 2m12.329370262s
ws3 done making product #55 in 1m43.843106651s
ws2 done making product #53 in 3m57.099314225s
ws3 done making product #56 in 1m50.802094057s
ws2 done making product #54 in 1m48.600100371s
ws3 done making product #57 in 1m57.163218937s
ws2 done making product #55 in 1m53.301275705s
ws3 done making product #58 in 2m1.715261715s
ws3 done making product #59 in 1m52.565095622s
ws2 done making product #56 in 3m48.645251356s
ws2 done making product #57 in 11.664073271s
ws3 done making product #60 in 2m1.269232489s
ws2 done making product #58 in 1m53.187317456s
ws3 done making product #61 in 2m14.864269199s
ws2 done making product #59 in 2m25.807247573s
ws3 done making product #62 in 1m38.536209772s
ws2 done making product #60 in 1m18.185152133s
ws2 done making product #61 in 14.844044955s
ws2 done making product #62 in 19.538030897s
ws2 done making product #63 in 1m0.923154644s
ws3 done making product #63 in 3m15.011508397s
ws3 done making product #64 in 1m11.368050351s
ws3 done making product #65 in 1m41.256130854s
ws2 done making product #64 in 4m35.128321765s
ws2 done making product #65 in 16.852043974s
ws3 done making product #66 in 2m18.683141717s
ws3 done making product #67 in 1m33.219063582s
ws3 done making product #68 in 1m43.473043651s
ws2 done making product #66 in 5m43.935272993s
ws3 done making product #69 in 2m11.562156989s
ws2 done making product #67 in 1m29.690191922s
ws2 done making product #68 in 19.858123485s
ws2 done making product #69 in 14.357159842s
ws3 done making product #70 in 2m28.889527161s
ws3 done making product #71 in 1m33.817122424s
ws2 done making product #70 in 3m45.11033732s
ws2 done making product #71 in 5.961397815s
ws3 done making product #72 in 2m14.127610304s
ws3 done making product #73 in 1m34.541055216s
ws3 done making product #74 in 2m1.819999547s
ws3 done making product #75 in 1m29.114140845s
ws3 done making product #76 in 1m39.51410089s
ws3 done making product #77 in 1m43.277010203s
ws3 done making product #78 in 1m39.711077839s
ws3 done making product #79 in 1m37.481017884s
ws2 done making product #72 in 13m56.937752258s
ws2 done making product #73 in 17.926075503s
ws2 done making product #74 in 7.476206122s
ws3 done making product #80 in 2m31.728378504s
ws2 done making product #75 in 2m4.027020994s
ws2 done making product #76 in 14.251039417s
ws3 done making product #81 in 2m8.635302512s
ws3 done making product #82 in 2m1.973093392s
ws2 done making product #77 in 3m42.290380491s
ws2 done making product #78 in 20.175005137s
ws2 done making product #79 in 13.568223675s
ws3 done making product #83 in 2m10.91443061s
ws2 done making product #80 in 3m27.887161139s
ws3 done making product #84 in 2m2.140085498s
ws2 done making product #81 in 16.159998397s
ws2 done making product #82 in 28.571117649s
ws3 done making product #85 in 2m7.627258569s
ws3 done making product #86 in 1m38.656127786s
ws3 done making product #87 in 1m51.004037302s
ws2 done making product #83 in 5m7.123381679s
ws3 done making product #88 in 1m54.468226016s
ws3 done making product #89 in 1m37.388032588s
ws3 done making product #90 in 1m58.159081077s
ws2 done making product #84 in 5m32.672381798s
ws3 done making product #91 in 1m45.055291608s
ws2 done making product #85 in 1m52.103215246s
ws2 done making product #86 in 1m0.650049929s
ws3 done making product #92 in 2m8.31332103s
ws2 done making product #87 in 1m18.87515673s
ws3 done making product #93 in 2m1.104237925s
ws3 done making product #94 in 1m43.960947654s
ws3 done making product #95 in 1m52.733161412s
ws3 done making product #96 in 1m45.570063911s
ws3 done making product #97 in 1m35.224068699s
ws3 done making product #98 in 1m32.029099758s
ws2 done making product #88 in 10m14.939792449s
ws3 done making product #99 in 1m57.230123508s
ws2 done making product #89 in 2m17.646081935s
ws2 done making product #90 in 1.232100461s
ws3 done making product #100 in 2m40.262288011s
ws3 done making product #101 in 1m11.240101134s



